Fecha,Mes_Calendario,SKU,Producto,Categoria,Estado_SKU,Nivel_Actual,Indice_Estacional,Pronostico_Modelo_Sin_Promocion,Anios_Con_Promocion,Promocion_Recurrente,Proporcion_Promocion_Esperada,Factor_Promocional_SKU,Multiplicador_Promo_Recurrente,Pronostico_Promo_Recurrente,Pronostico_Recomendado,Proteccion_Sesgo_pct,Pronostico_Protegido,Ajuste_Manual_pct,Ajuste_Manual_Unidades,Pronostico_Final,Regla_Pausa_Aplicada,Venta_Mismo_Mes_2023,Venta_Mismo_Mes_2024,Venta_Mismo_Mes_2025,Variacion_Recomendado_vs_2025_pct
2026-01-01,1,SKU-1012,Jugo Naranja 1L,Bebidas,Activo,8621.325069420065,0.6849345510883279,5905.04341620978,0,False,0.0,1.675392670157068,1.0,5905.04341620978,5905.04341620978,0.08,6377.446889506563,0.0,0.0,5905.04341620978,False,5095.0,5549.0,6131.0,-3.6854768192826626
2026-01-01,1,SKU-1013,Jugo Manzana 1L,Bebidas,Activo,10344.166433122093,0.7083670190341907,7327.466340624234,2,True,0.14814814814814814,1.6965448589199297,1.1031918309511006,8083.60100854581,8083.60100854581,0.08,8730.289089229476,0.0,0.0,8083.60100854581,False,9174.0,8498.0,8747.0,-7.584303091965127
2026-01-01,1,SKU-1014,Agua Saborizada 500ml,Bebidas,Activo,8239.544034220507,0.664444917812945,5474.723158633787,2,True,0.07407407407407407,1.690721649484536,1.0511645666284841,5754.83499645621,5754.83499645621,0.08,6215.221796172707,0.0,0.0,5754.83499645621,False,4997.0,5605.0,6996.0,-17.741066374268012
2026-01-01,1,SKU-1015,Bebida Isotonica 600ml,Bebidas,Activo,5802.684360827108,1.2649322273483983,7340.002453140751,0,False,0.0,1.6883561643835616,1.0,7340.002453140751,7340.002453140751,0.08,7927.202649392011,0.0,0.0,7340.002453140751,False,7238.0,7067.0,6991.0,4.992167832080541
2026-01-01,1,SKU-1016,Te Helado 1.5L,Bebidas,Activo,3037.0150902677233,0.71684786281791,2177.0777768041594,1,False,0.0,1.5667870036101084,1.0,2177.0777768041594,2177.0777768041594,0.08,2351.2439989484924,0.0,0.0,2177.0777768041594,False,2026.0,2442.0,2158.0,0.8840489714624367
2026-01-01,1,SKU-1017,Nectar Durazno 1L,Bebidas,Activo,4105.272591656461,1.0762637099204628,4418.355909730976,2,True,0.1111111111111111,1.6616982440073014,1.0735220271119224,4743.202392716339,4743.202392716339,0.08,5122.658584133646,0.0,0.0,4743.202392716339,False,4830.0,4509.0,4388.0,8.094858539570172
2026-01-01,1,SKU-1018,Arroz Grano Largo 1kg,Despensa,Activo,10908.211013621123,1.3610639057964036,14846.772287450513,0,False,0.0,1.7129528844658684,1.0,14846.772287450513,14846.772287450513,0.08,16034.514070446554,0.0,0.0,14846.772287450513,False,15473.0,14859.0,15047.0,-1.330681946896306
2026-01-01,1,SKU-1019,Fideos Spaghetti 400g,Despensa,Activo,3641.221022956703,1.324801856926535,4823.896372692978,1,False,0.0,1.8031651182739419,1.0,4823.896372692978,4823.896372692978,0.08,5209.808082508416,0.0,0.0,4823.896372692978,False,4446.0,4272.0,5134.0,-6.040195311784613
2026-01-01,1,SKU-1020,Aceite Vegetal 900ml,Despensa,Activo,13407.560341055967,0.6212460295012372,8329.393627179274,2,True,0.07407407407407407,1.72162451140297,1.053453667511331,8774.630264697515,8774.630264697515,0.08,9476.600685873316,0.0,0.0,8774.630264697515,False,6703.0,9020.0,7740.0,13.367316081363235
2026-01-01,1,SKU-1021,Azucar 1kg,Despensa,Pausado,0.0,1.184821728976053,0.0,1,False,0.0,2.4424173318129987,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,True,5648.0,6653.0,6055.0,-100.0
2026-01-01,1,SKU-1022,Harina 1kg,Despensa,Activo,12794.154521131673,0.9714163754244746,12428.451211538384,2,True,0.14814814814814814,1.733144863107313,1.108614053793676,13778.355680000492,13778.355680000492,0.08,14880.624134400532,0.0,0.0,13778.355680000492,False,15028.0,13591.0,12454.0,10.633978480813333
2026-01-01,1,SKU-1023,Salsa Tomate 200g,Despensa,Activo,12064.334396064447,1.0139834765683504,12233.035733404558,2,True,0.07407407407407407,1.5941085046692045,1.044008037382904,12771.387627266626,12771.387627266626,0.08,13793.098637447956,0.0,0.0,12771.387627266626,False,11752.0,12684.0,11635.0,9.766975739292016
2026-01-01,1,SKU-1024,Atun Lomitos 160g,Despensa,Activo,11949.212686038616,1.007698949332297,12041.209069069268,1,False,0.0,1.7532984293193716,1.0,12041.209069069268,12041.209069069268,0.08,13004.50579459481,0.0,0.0,12041.209069069268,False,12214.0,10972.0,12073.0,-0.2633225456036836
2026-01-01,1,SKU-1025,Legumbres Mix 500g,Despensa,Activo,7383.381479854536,0.6537623334287964,4826.976704864662,3,True,0.1111111111111111,1.7396449704142012,1.0821827744904668,5223.671042871291,5223.671042871291,0.08,5641.564726300995,0.0,0.0,5223.671042871291,False,4170.0,4919.0,4903.0,6.5403027303954975
