SKU,Producto,Categoria,Observaciones,Demanda_Real,WAPE_Recomendado_pct,Sesgo_Recomendado_pct,Subestimacion_Recomendado_pct,Sobreestimacion_Recomendado_pct,WAPE_Protegido_pct,Sesgo_Protegido_pct,Subestimacion_Protegido_pct,Sobreestimacion_Protegido_pct,Cambio_WAPE_pct,Cambio_Subestimacion_pct,Proteccion_Mejora_WAPE,Proteccion_Reduce_Subestimacion
SKU-1014,Agua Saborizada 500ml,Bebidas,12,110430.0,15.578818201276556,-11.282793822434748,13.430806011855651,2.1480121894209043,14.366145242344455,-4.185417328229521,9.275781285286989,5.090363957057467,-1.2126729589321013,-4.155024726568662,True,True
SKU-1007,Galleta Avena 180g,Galletas,12,133102.0,16.89402302823803,-13.8783647365348,15.386193882386415,1.5078291458516155,13.752673529059262,-6.9886339154575765,10.37065372225842,3.3820198068008436,-3.1413494991787694,-5.015540160127996,True,True
SKU-1011,Snack Mix 120g,Galletas,12,121641.25,15.042503567860221,-9.841510273897033,12.44200692087863,2.600496646981594,12.981665776156484,-2.6288310958087893,7.805248435982637,5.176417340173847,-2.0608377917037366,-4.636758484895992,True,True
SKU-1004,Leche Descremada 1L,Lacteos,12,69347.0,8.882152558247666,-1.050373847028171,4.9662632026379185,3.9158893556097474,12.835475398639757,6.865596245209583,2.9849395767150866,9.85053582192467,3.95332284039209,-1.981323625922832,False,True
SKU-1015,Bebida Isotonica 600ml,Bebidas,12,73855.0,9.99526188367169,-4.900936456045802,7.448099169858747,2.5471627138129436,12.17907679609028,2.7069886274705404,4.73604408430987,7.44303271178041,2.1838149124185904,-2.7120550855488768,False,True
SKU-1006,Manjar 400g,Lacteos,12,64566.5,10.877483776803064,-6.262936105236605,8.570209941019836,2.3072738357832296,11.947598213906922,1.2360290063444725,5.355784603781225,6.591813610125698,1.0701144371038573,-3.2144253372386116,False,True
SKU-1018,Arroz Grano Largo 1kg,Despensa,12,142983.0,10.606075572002673,-4.643401617476705,7.62473859473969,2.9813369772629845,11.547910541443049,2.9851262531251628,4.281392144158943,7.2665183972841065,0.9418349694403751,-3.3433464505807473,False,True
SKU-1021,Azucar 1kg,Despensa,6,44103.0,16.19112746428995,-16.19112746428995,16.19112746428995,0.0,11.379406752358342,-9.486417661433137,10.43291220689574,0.946494545462603,-4.811720711931606,-5.758215257394209,True,True
SKU-1013,Jugo Manzana 1L,Bebidas,12,140275.0,8.336957925421853,0.05821017840789954,4.139373873506977,4.197584051914876,11.301395026348628,8.062866992680542,1.6192640168340429,9.682131009514585,2.9644371009267747,-2.520109856672934,False,True
SKU-1001,Yogurt Natural 1L,Lacteos,12,153390.25,7.6259386519752805,0.6424186029005015,3.4917600245373897,4.13417862743789,11.01659565198186,8.693812091132552,1.1613917804246543,9.855203871557205,3.3906570000065788,-2.3303682441127354,False,True
SKU-1022,Harina 1kg,Despensa,12,158141.0,7.294815250008825,0.1353694968926946,3.5797228765580646,3.7150923734507595,10.679713983117143,8.146199056644116,1.2667574632365124,9.41295651988063,3.384898733108318,-2.3129654133215523,False,True
SKU-1009,Galleta Salada 150g,Galletas,12,170974.0,12.405384204744523,-7.874910208318224,10.140147206531374,2.2652369982131493,10.373127999073015,-0.5049030249836739,5.439015512028345,4.934112487044671,-2.0322562056715086,-4.701131694503029,True,True
SKU-1019,Fideos Spaghetti 400g,Despensa,12,45480.0,11.844064299763298,-9.488469622299966,10.666266961031635,1.1777973387316663,10.296119183219709,-2.2475471920839567,6.271833187651834,4.024285995567876,-1.5479451165435894,-4.394433773379801,True,True
SKU-1002,Yogurt Frutado Pack 4,Lacteos,12,59361.0,11.681999316488874,-9.806310546436169,10.744154931462521,0.9378443850263534,10.230567438173395,-2.590815390151057,6.410691414162225,3.8198760240111693,-1.4514318783154785,-4.333463517300296,True,True
SKU-1005,Queso Untable 250g,Lacteos,12,55939.79862700229,10.17431878411957,-6.143885956650747,8.159102370385158,2.015216413734412,10.097080743823163,1.3646031668172,4.366238788502981,5.730841955320181,-0.07723804029640746,-3.7928635818821768,True,True
SKU-1017,Nectar Durazno 1L,Bebidas,12,49949.0,8.406590022474987,0.552869602261097,3.926860210106945,4.479729812368043,10.046513379970492,8.597099170441991,0.7247071047642489,9.321806275206242,1.6399233574955048,-3.2021531053426964,False,True
SKU-1023,Salsa Tomate 200g,Despensa,12,146702.0,6.764673928018546,0.01581547824782314,3.374429224885361,3.390244703133185,10.044803938410585,8.017080716507657,1.0138616109514647,9.03094232745912,3.280130010392039,-2.3605676139338962,False,True
SKU-1016,Te Helado 1.5L,Bebidas,12,39728.75,10.074393509737144,-3.0419096594936588,6.558151584615402,3.5162419251217427,9.786119087850349,4.714737567746854,2.5356907600517475,7.250428327798603,-0.2882744218867952,-4.022460824563654,True,True
SKU-1012,Jugo Naranja 1L,Bebidas,12,105418.0,10.68421424915314,-3.7952905070305314,7.239752378091836,3.4444618710613044,9.53491419051302,3.9010862524070316,2.8169139690529943,6.718000221460025,-1.1493000586401205,-4.422838409038842,True,True
SKU-1008,Galleta Chocolate 200g,Galletas,12,147748.0,10.352805851139742,-6.833959930350793,8.593382890745268,1.759422960394475,9.529638987114977,0.6193232752211513,4.455157855946912,5.074481131168064,-0.8231668640247651,-4.138225034798356,True,True
SKU-1024,Atun Lomitos 160g,Despensa,12,155615.75,13.326836419389961,-9.662424899849913,11.494630659619936,1.8322057597700243,9.279308825378422,-2.435418891837903,5.857363858608163,3.42194496677026,-4.047527594011539,-5.637266801011774,True,True
SKU-1025,Legumbres Mix 500g,Despensa,12,90981.0,7.349283021183166,0.6214461330048437,3.363918444089161,3.9853645770940047,9.157798919676395,8.671161823645239,0.2433185480155775,8.914480371660817,1.808515898493229,-3.1205998960735837,False,True
SKU-1003,Leche Entera 1L,Lacteos,12,45394.0,7.712048522564206,-4.797933184759665,6.254990853661936,1.457057668902271,8.102089278015066,2.8182321604595697,2.6419285587777486,5.460160719237319,0.39004075545086003,-3.6130622948841875,False,True
SKU-1010,Barra Cereal Pack 6,Galletas,12,105486.5,6.569208969275045,-1.9805577538510193,4.274883361563033,2.2943256077120133,7.544946696355908,5.8609976258409064,0.8419745352575007,6.7029721610984065,0.9757377270808636,-3.4329088263055323,False,True
SKU-1020,Aceite Vegetal 900ml,Despensa,12,164701.0,10.093943251067916,-8.65780433680009,9.375873793934003,0.7180694571339132,7.496439055376832,-1.3504286837440889,4.42343386956046,3.0730051858163714,-2.5975041956910845,-4.952439924373543,True,True
