Mes_Calendario,Observaciones,Demanda_Real,WAPE_Recomendado_pct,Sesgo_Recomendado_pct,Subestimacion_Recomendado_pct,Sobreestimacion_Recomendado_pct,WAPE_Protegido_pct,Sesgo_Protegido_pct,Subestimacion_Protegido_pct,Sobreestimacion_Protegido_pct,Cambio_WAPE_pct,Cambio_Subestimacion_pct,Proteccion_Mejora_WAPE,Proteccion_Reduce_Subestimacion
1,25,190811.0,11.59637203958679,-5.429594533591327,8.512983286589058,3.0833887529977306,11.720631956311168,2.1360379037213733,4.792297026294897,6.92833493001627,0.12425991672437853,-3.720686260294161,False,True
2,25,194807.0,9.169892232503763,-4.918232435985626,7.044062334244694,2.125829898259067,9.104160051978083,2.688308969135528,3.2079255414212775,5.8962345105568055,-0.0657321805256803,-3.836136792823417,True,True
3,25,213141.25,13.140817094706255,-10.278599881018048,11.709708487862152,1.431108606844104,9.774686928923703,-3.1008878714994825,6.437787400211594,3.336899528712111,-3.366130165782552,-5.271921087650558,True,True
4,25,217758.0,10.744431248036285,-6.532915596830427,8.638673422433357,2.1057578256029283,10.893873064001419,0.944451155423145,4.9747109542891375,5.919162109712282,0.14944181596513317,-3.663962468144219,False,True
5,25,235798.5,12.029455203082454,-7.267816095298752,9.648635649190602,2.3808195538918513,10.60874357893709,0.15075861707735466,5.228992480929868,5.3797510980072225,-1.4207116241453637,-4.419643168260734,True,True
6,25,249020.0,12.969573711649124,-11.468825694493589,12.219199703071357,0.7503740085777683,10.840579763923872,-4.386331750053066,7.613455756988468,3.227124006935403,-2.1289939477252524,-4.605743946082889,True,True
7,24,227415.0,8.381849535645975,-0.10508981550474568,4.24346967557536,4.138379860070614,10.315720401096714,7.886502999254883,1.2146087009209146,9.101111700175798,1.9338708654507393,-3.028860974654446,False,True
8,24,228140.75,10.247168730932177,-2.359136110657878,6.303152420795029,3.94401631013715,10.978236436020303,5.452133000489496,2.763051717765403,8.2151847182549,0.731067705088126,-3.540100703029626,False,True
9,24,227962.79862700228,9.009100897331646,-6.0460761926062,7.527588544968923,1.4815123523627227,8.736422684098638,1.470237711985313,3.6330924860566625,5.103330198041975,-0.2726782132330072,-3.8944960589122606,True,True
10,24,210713.5,9.998466585283975,-2.6056533679714744,6.302059976627724,3.6964066086562504,13.506292576834461,5.185894362590815,4.160199107121823,9.346093469712638,3.5078259915504866,-2.1418608695059014,False,True
11,24,199774.5,9.065872172209739,-1.5700365848804847,5.317954378545113,3.7479177936646275,11.268326830356314,6.304360488329083,2.481983171013614,8.786343659342696,2.202454658146575,-2.835971207531499,False,True
12,24,199970.5,9.981190724296871,-4.5170718838461665,7.249131304071519,2.7320594202253528,9.676904767457266,3.1215623654461475,3.27767120100556,6.399233566451707,-0.304285956839605,-3.9714601030659593,True,True
