Fecha,SKU,Producto,Categoria,Region,Estado_SKU,Participacion_Region,Pronostico_Base_Region,Pronostico_Recomendado_Region,Pronostico_Protegido_Region,Pronostico_Final_Region
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Centro,Activo,0.5041430700447094,2976.986716595297,2976.986716595297,3215.145653922921,2976.986716595297
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Norte,Activo,0.24673621460506706,1456.9880595941745,1456.9880595941745,1573.5471043617088,1456.9880595941745
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Sur,Activo,0.24912071535022354,1471.068640020308,1471.068640020308,1588.754131221933,1471.068640020308
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Centro,Activo,0.5085355236761422,3726.2769327486503,4110.798272069835,4439.6621338354225,4110.798272069835
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Norte,Activo,0.24100079488247095,1765.9252125649912,1948.154268572284,2104.006610058067,1948.154268572284
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Sur,Activo,0.25046368144138687,1835.2641953105929,2024.6484679036914,2186.620345335987,2024.6484679036914
2026-01-01,SKU-1014,Agua Saborizada 500ml,Bebidas,Centro,Activo,0.5435844982384361,2975.974641180293,3128.2390939936413,3378.498221513133,3128.2390939936413
2026-01-01,SKU-1014,Agua Saborizada 500ml,Bebidas,Norte,Activo,0.2213319695419934,1211.7312593975792,1273.7289641548437,1375.6272812872312,1273.7289641548437
2026-01-01,SKU-1014,Agua Saborizada 500ml,Bebidas,Sur,Activo,0.2350835322195704,1287.017258055914,1352.866938307725,1461.0962933723429,1352.866938307725
2026-01-01,SKU-1015,Bebida Isotonica 600ml,Bebidas,Centro,Activo,0.4828136739293764,3543.853551051521,3543.853551051521,3827.361835135643,3543.853551051521
2026-01-01,SKU-1015,Bebida Isotonica 600ml,Bebidas,Norte,Activo,0.2537565740045079,1862.5738756936805,1862.5738756936805,2011.579785749175,1862.5738756936805
2026-01-01,SKU-1015,Bebida Isotonica 600ml,Bebidas,Sur,Activo,0.2634297520661157,1933.5750263955488,1933.5750263955488,2088.261028507193,1933.5750263955488
2026-01-01,SKU-1016,Te Helado 1.5L,Bebidas,Centro,Activo,0.5086024750980984,1107.267145763661,1107.267145763661,1195.848517424754,1107.267145763661
2026-01-01,SKU-1016,Te Helado 1.5L,Bebidas,Norte,Activo,0.2247207968608512,489.234652831481,489.234652831481,528.3734250579996,489.234652831481
2026-01-01,SKU-1016,Te Helado 1.5L,Bebidas,Sur,Activo,0.2666767280410504,580.5759782090174,580.5759782090174,627.022056465739,580.5759782090174
2026-01-01,SKU-1017,Nectar Durazno 1L,Bebidas,Centro,Activo,0.4797843665768194,2119.858091461223,2275.714355535063,2457.771503977868,2275.714355535063
2026-01-01,SKU-1017,Nectar Durazno 1L,Bebidas,Norte,Activo,0.2589786552050703,1144.2598717195033,1228.3881770311493,1326.6592311936413,1228.3881770311493
2026-01-01,SKU-1017,Nectar Durazno 1L,Bebidas,Sur,Activo,0.2612369782181103,1154.23794655025,1239.099860150127,1338.2278489621372,1239.099860150127
2026-01-01,SKU-1018,Arroz Grano Largo 1kg,Despensa,Centro,Activo,0.516979219462747,7675.47274870731,7675.47274870731,8289.510568603895,7675.47274870731
2026-01-01,SKU-1018,Arroz Grano Largo 1kg,Despensa,Norte,Activo,0.23541726349192357,3495.186503599326,3495.186503599326,3774.8014238872724,3495.186503599326
2026-01-01,SKU-1018,Arroz Grano Largo 1kg,Despensa,Sur,Activo,0.24760351704532935,3676.1130351438765,3676.1130351438765,3970.2020779553864,3676.1130351438765
2026-01-01,SKU-1019,Fideos Spaghetti 400g,Despensa,Centro,Activo,0.5082298585041871,2451.6481709326135,2451.6481709326135,2647.780024607223,2451.6481709326135
2026-01-01,SKU-1019,Fideos Spaghetti 400g,Despensa,Norte,Activo,0.2528154779093272,1219.555666847445,1219.555666847445,1317.1201201952406,1219.555666847445
2026-01-01,SKU-1019,Fideos Spaghetti 400g,Despensa,Sur,Activo,0.2389546635864857,1152.6925349129192,1152.6925349129192,1244.9079377059527,1152.6925349129192
2026-01-01,SKU-1020,Aceite Vegetal 900ml,Despensa,Centro,Activo,0.5684268848825811,4734.651272458337,4987.735747358426,5386.754607147101,4987.735747358426
2026-01-01,SKU-1020,Aceite Vegetal 900ml,Despensa,Norte,Activo,0.22154029748966458,1845.2963420738126,1943.9341992029017,2099.448935139134,1943.9341992029017
2026-01-01,SKU-1020,Aceite Vegetal 900ml,Despensa,Sur,Activo,0.21003281762775433,1749.4460126471236,1842.9603181361867,1990.397143587082,1842.9603181361867
2026-01-01,SKU-1021,Azucar 1kg,Despensa,Centro,Pausado,0.4971126607103944,0.0,0.0,0.0,0.0
2026-01-01,SKU-1021,Azucar 1kg,Despensa,Norte,Pausado,0.25250599259097845,0.0,0.0,0.0,0.0
2026-01-01,SKU-1021,Azucar 1kg,Despensa,Sur,Pausado,0.25038134669862716,0.0,0.0,0.0,0.0
2026-01-01,SKU-1022,Harina 1kg,Despensa,Centro,Activo,0.46672996859250604,5800.730643614804,6430.771513783006,6945.233234885648,6430.771513783006
2026-01-01,SKU-1022,Harina 1kg,Despensa,Norte,Activo,0.2510408297421664,3120.0487045546292,3458.929842390015,3735.6442297812164,3458.929842390015
2026-01-01,SKU-1022,Harina 1kg,Despensa,Sur,Activo,0.2822292016653276,3507.671863368952,3888.6543238274708,4199.746669733669,3888.6543238274708
2026-01-01,SKU-1023,Salsa Tomate 200g,Despensa,Centro,Activo,0.5161487067173075,6314.065573023372,6591.935206799091,7119.290023343019,6591.935206799091
2026-01-01,SKU-1023,Salsa Tomate 200g,Despensa,Norte,Activo,0.23589587203016274,2885.72263190761,3012.717621369292,3253.735031078835,3012.717621369292
2026-01-01,SKU-1023,Salsa Tomate 200g,Despensa,Sur,Activo,0.24795542125252973,3033.247528473576,3166.734799098242,3420.073583026102,3166.734799098242
2026-01-01,SKU-1024,Atun Lomitos 160g,Despensa,Centro,Activo,0.5096003857171219,6136.204786098205,6136.204786098205,6627.101168986062,6136.204786098205
2026-01-01,SKU-1024,Atun Lomitos 160g,Despensa,Norte,Activo,0.22663717065146488,2728.985554636618,2728.985554636618,2947.304399007548,2728.985554636618
2026-01-01,SKU-1024,Atun Lomitos 160g,Despensa,Sur,Activo,0.26376244363141327,3176.018728334445,3176.018728334445,3430.100226601201,3176.018728334445
2026-01-01,SKU-1025,Legumbres Mix 500g,Despensa,Centro,Activo,0.4734133790737564,2285.155352560286,2472.9557595754313,2670.792220341466,2472.9557595754313
2026-01-01,SKU-1025,Legumbres Mix 500g,Despensa,Norte,Activo,0.24928530588907946,1203.294364391648,1302.1844337860966,1406.3591884889845,1302.1844337860966
2026-01-01,SKU-1025,Legumbres Mix 500g,Despensa,Sur,Activo,0.2773013150371641,1338.526987912728,1448.5308495097636,1564.4133174705446,1448.5308495097636
2026-01-01,SKU-1007,Galleta Avena 180g,Galletas,Centro,Activo,0.451494712299109,5579.586452749292,6129.403458660303,6619.755735353127,6129.403458660303
