Fecha,SKU,Producto,Categoria,Canal,Region,Estado_SKU,Participacion_Canal_Region,Factor_Promocional_SKU,Proporcion_Promocion_Esperada,Pronostico_Base,Pronostico_Recomendado_Detalle,Pronostico_Protegido_Detalle,Pronostico_Final_Detalle
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Ecommerce,Centro,Activo,0.06378539493293592,1.675392670157068,0.0,376.6555263990739,376.6555263990739,406.78796851099986,376.6555263990739
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Ecommerce,Norte,Activo,0.03052160953800298,1.675392670157068,0.0,180.23142945451013,180.23142945451013,194.64994381087095,180.23142945451013
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Ecommerce,Sur,Activo,0.033800298062593145,1.675392670157068,0.0,199.59222754044384,199.59222754044384,215.55960574367936,199.59222754044384
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Mayorista,Centro,Activo,0.1659016393442623,1.675392670157068,0.0,979.6563831482455,979.6563831482455,1058.0288938001052,979.6563831482455
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Mayorista,Norte,Activo,0.07374068554396424,1.675392670157068,0.0,435.4419496781817,435.4419496781817,470.27730565243627,435.4419496781817
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Mayorista,Sur,Activo,0.08757078986587183,1.675392670157068,0.0,517.1093161497565,517.1093161497565,558.4780614417372,517.1093161497565
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Supermercado,Centro,Activo,0.27445603576751115,1.675392670157068,0.0,1620.6748070479775,1620.6748070479775,1750.328791611816,1620.6748070479775
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Supermercado,Norte,Activo,0.14247391952309985,1.675392670157068,0.0,841.3146804614828,841.3146804614828,908.6198548984015,841.3146804614828
2026-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,Supermercado,Sur,Activo,0.12774962742175858,1.675392670157068,0.0,754.3670963301079,754.3670963301079,814.7164640365165,754.3670963301079
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Ecommerce,Centro,Activo,0.06143305954048223,1.6965448589199297,0.14814814814814814,450.148675984448,496.60034205949694,536.3283694242567,496.60034205949694
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Ecommerce,Norte,Activo,0.03312010295620576,1.6965448589199297,0.14814814814814814,242.6864396096069,267.72969765992593,289.14807347272006,267.72969765992593
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Ecommerce,Sur,Activo,0.030659752450887617,1.6965448589199297,0.14814814814814814,224.6583040957504,247.84120583376003,267.6685023004609,247.84120583376003
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Mayorista,Centro,Activo,0.14746962413414588,1.6965448589199297,0.14814814814814814,1080.5787071074612,1192.0856023806532,1287.4524505711056,1192.0856023806532
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Mayorista,Norte,Activo,0.09553730269881525,1.6965448589199297,0.14814814814814814,700.0463697995975,772.2854364498893,834.0682713658805,772.2854364498893
2026-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,Mayorista,Sur,Activo,0.08668004087966993,1.6965448589199297,0.14814814814814814,635.145081949714,700.686865875692,756.7418151457474,700.686865875692
