Fecha,SKU,Producto,Categoria,Venta_Real,Proporcion_Promocion_Esperada,Pronostico_Recomendado,Pronostico_Protegido,Pronostico_Mismo_Mes_Anterior,Pronostico_Ponderado_Estacional,Pronostico_Empresa,Error_Empresa,Error_Abs_Empresa,Error_pct_Empresa,Error_Mismo_Mes_Anterior,Error_Abs_Mismo_Mes_Anterior,Error_pct_Mismo_Mes_Anterior,Error_Ponderado_Estacional,Error_Abs_Ponderado_Estacional,Error_pct_Ponderado_Estacional,Error_Recomendado,Error_Abs_Recomendado,Error_pct_Recomendado,Error_Protegido,Error_Abs_Protegido,Error_pct_Protegido
2025-01-01,SKU-1012,Jugo Naranja 1L,Bebidas,6131.0,0.0,5177.15739731331,5591.329989098375,5549.0,5195.787337091755,5394,-737.0,737.0,-12.020877507747512,-582.0,582.0,-9.492741803947153,-935.212662908245,935.212662908245,-15.253835637061572,-953.84260268669,953.84260268669,-15.55770025585859,-539.6700109016247,539.6700109016247,-8.802316276327266
2025-01-01,SKU-1013,Jugo Manzana 1L,Bebidas,8747.0,0.0,8379.804857081934,9050.18924564849,8498.0,9035.536427607183,9762,1015.0,1015.0,11.603978506916658,-249.0,249.0,-2.8466902938150223,288.5364276071832,288.5364276071832,3.2986901521342546,-367.19514291806627,367.19514291806627,-4.197955217995498,303.1892456484893,303.1892456484893,3.466208364564871
2025-01-01,SKU-1014,Agua Saborizada 500ml,Bebidas,6996.0,0.0,5080.061318538819,5486.466224021925,5605.0,5439.743029654541,5727,-1269.0,1269.0,-18.13893653516295,-1391.0,1391.0,-19.882790165809034,-1556.2569703454592,1556.2569703454592,-22.24495383569839,-1915.9386814611807,1915.9386814611807,-27.386201850502868,-1509.533775978075,1509.533775978075,-21.577097998543096
2025-01-01,SKU-1015,Bebida Isotonica 600ml,Bebidas,6991.0,0.0,7225.190005682703,7803.20520613732,7067.0,6927.967909581969,7218,227.0,227.0,3.2470318981547703,76.0,76.0,1.0871120011443283,-63.03209041803075,63.03209041803075,-0.9016176572454692,234.19000568270258,234.19000568270258,3.3498784963911112,812.2052061373197,812.2052061373197,11.617868776102414
2025-01-01,SKU-1016,Te Helado 1.5L,Bebidas,2158.0,0.0,2249.415836338783,2429.3691032458855,2442.0,2219.2620114838332,2199,41.0,41.0,1.8999073215940687,284.0,284.0,13.160333642261355,61.26201148383325,61.26201148383325,2.838832784236944,91.41583633878281,91.41583633878281,4.236136994382892,271.3691032458855,271.3691032458855,12.575027953933526
2025-01-01,SKU-1017,Nectar Durazno 1L,Bebidas,4388.0,0.16666666666666666,4950.612150701015,5346.661122757097,4509.0,5016.39291371083,3864,-524.0,524.0,-11.941659070191431,121.0,121.0,2.7575205104831357,628.3929137108298,628.3929137108298,14.32071362148655,562.6121507010148,562.6121507010148,12.821607809959316,958.6611227570966,958.6611227570966,21.847336434756077
2025-01-01,SKU-1018,Arroz Grano Largo 1kg,Despensa,15047.0,0.0,14971.401517473785,16169.11363887169,14859.0,13939.675764701578,13738,-1309.0,1309.0,-8.699408519970758,-188.0,188.0,-1.2494184887352962,-1107.3242352984216,1107.3242352984216,-7.359103045779369,-75.59848252621487,75.59848252621487,-0.5024156478116227,1122.1136388716895,1122.1136388716895,7.457391100363458
2025-01-01,SKU-1019,Fideos Spaghetti 400g,Despensa,5134.0,0.0,4012.6976434436933,4333.713454919189,4272.0,4801.161176589134,7738,2604.0,2604.0,50.720685625243476,-862.0,862.0,-16.79002726918582,-332.8388234108661,332.8388234108661,-6.483031231220609,-1121.3023565563067,1121.3023565563067,-21.84071594383145,-800.2865450808113,800.2865450808113,-15.587973219337966
2025-01-01,SKU-1020,Aceite Vegetal 900ml,Despensa,7740.0,0.1111111111111111,8191.028338203664,8846.310605259958,9020.0,8431.892988658301,11699,3959.0,3959.0,51.14987080103359,1280.0,1280.0,16.5374677002584,691.892988658301,691.892988658301,8.939185899978048,451.02833820366413,451.02833820366413,5.827239511675248,1106.3106052599578,1106.3106052599578,14.293418672609274
2025-01-01,SKU-1021,Azucar 1kg,Despensa,6055.0,0.0,5992.993045727196,6472.432489385372,6653.0,6513.176375695793,8709,2654.0,2654.0,43.83154417836499,598.0,598.0,9.876135425268373,458.17637569579256,458.17637569579256,7.566909590351653,-62.00695427280425,62.00695427280425,-1.02406200285391,417.4324893853718,417.4324893853718,6.8940130369177846
